YXX,76,1,84,90,88,68,68,55,54,76,46,2018-10-13 14:42:03,"Three flights scheduled to depart at the same time meant the terminal was crowded to max capacity and barely room to move around.  Good luck finding a seat..."
AHB,70,2,79,76,82,58,46,77,51,79,58,2017-12-28 17:14:41,"Small regional airport with some international service, the wi-fi today was either amazingly slow or completely non-working.\r\nThe security check is nice because there usually isn´t a big line and it takes less than 2 minutes."
ABZ,72,16,82,80,79,68,74,66,78,72,67,2023-05-24 23:38:31,"It took longer to get our bags than the flight lasted over 1hour 10 minutes we waited and we were the only flight to land"
AAL,83,10,90,93,92,83,80,75,79,83,70,2022-11-02 11:37:32,"Very nice airport with free parking.\r\nFriendly and helpful staff.\r\nOne of the best lounge I ever have been at\r\n"
VJI,,,,,""
LCG,77,6,79,87,83,76,65,73,74,67,82,2020-07-08 09:55:50,"DECADENTE y personal muy borde y desagradable. No lo recomiendo, ya es la segunda vez y no ha cambiado nada."
ABR,,,,,""
QEA,91,1,45,100,73,75,73,100,60,100,70,2022-05-25 11:24:23,"The sea airport is within the ferry and commercial dock. I got a taxi from the airport due to time constraints. It was a short journey and the price was lower than I was expecting. Check-in was simple as was the security check. Nordic Seaplanes provide hot and cold drinks free of charge."
AZI,84,1,85,75,90,73,83,87,60,83,85,2014-10-03 19:22:53,"This airport is everything i love about small airports. Very close to the city, very fast from touchdown to the park position (no taxiing for hours here) and you are allowed to walk from the plane to the terminal."
JEG,72,,,,""
ABJ,61,3,69,63,61,59,45,54,53,56,54,2016-12-23 22:44:24,"The airport is not big at all and can get very busy at times, both upon arrival and departure. Overall, the staff is quite fiendly and everything is close at hand. No need to worry too much, there's a lot of security to help feel safe throughout the stay. Toilets are clean and you can even change money and buy phone cards in the terminal."
ABI,77,,50,100,40,20,0,0,50,0,0,,""
AAH,,,100,100,100,100,100,100,100,100,100,,""
AAR,69,10,62,87,87,63,62,58,66,67,57,2023-05-08 10:15:45,"Fantastic airport. \r\nLove that you can walk from your parking and under two minutes later you're on the other side of security."
AEU,,,,,""
ADT,,,,,""
ABV,62,5,67,62,60,55,42,46,51,50,54,2023-05-18 06:52:56,"Abuja airport is a lovely one, it's quite an open area with so much space and outside you could stretch your legs if you want. To me it's okay."
AUH,77,95,79,77,77,72,77,70,73,72,74,2023-07-02 17:31:30,"Very nice and big airport, but too far away from the main city. I also like how the gates are positioned and connected."
ABA,63,1,85,76,62,77,53,54,50,63,65,2015-11-07 08:52:32,"Багаж зачастую приходится ждать около часа - такого нет даже в аэропортах банановых республик. Вай-фай в аэропорту отсутствует, сеть имеется только в кафе на втором этаже."
ACA,75,1,77,84,74,88,68,66,70,74,82,2019-05-21 01:51:53,"New terminal in operations, bulided in 2015 (i guess) since last hurricane the main terminal suffered several damages, now the new terminal is active"
ADK,42,,,,""
ABS,57,1,73,73,50,30,65,30,30,50,40,2011-02-02 18:07:53,"3 HOURS LATE!!!!"
ABD,54,2,76,64,60,73,50,64,76,80,80,2015-10-19 03:27:48,"Airport name: Abadan Airport IATA code: ABD ICAO code: OIAA Country: Iran City: Abadan Time: 02:43 (UTC: 22:13) Latitude: 30.371111 Longitude: 48.228329 Altitude: 19 feet During World War II, Abadan Airport was a major logistics center for Lend-Lease aircraft being sent to the Soviet Union by the United States. Beginning in May 1942, the United States Army Air Forces Air Technical Service Command and the Douglas Aircraft Company established a plant here, with the 17th Air Depot Group assembling newly arrived aircraft and flight-testing them. Once prepared, they were flown to Mehrabad Airport, Tehran, for delivery to the Soviets.[2][3] The airport was designated as Station #3, by the Air Transport Command North African Wing, with connecting routes to Mehrabad Airport, Tehran; RAF Habbaniya, Iraq, and Bahrain Airport,"
ACC,62,7,62,66,64,54,49,48,49,55,50,2022-08-31 02:26:31,"Best in the country by far. I’m really looking forward to better services. We’re in the modern world we need more digitizations."
ADA,68,4,81,77,56,47,78,51,51,56,62,2022-09-01 08:54:33,"Small Regional Airport but devided in domestic and international departures and arrivals. \r\nIt’s an old airport in need of renovations but the personnel is really nice and helpful. We arrived for our flight 2 hours early, we could have arrived an hour later and it would still be on time."
DHF,,,,,""
ADG,,,,,""
ADF,71,,96,88,100,80,100,75,73,75,80,,""
ADE,57,,55,54,57,53,53,51,55,51,45,,""
AIP,,1,40,60,100,2021-09-24 06:51:36,"Tiny defense airport. No WiFi, no eatery, scarce seating, bare-bone structure with just one room (although a bigger terminal is under construction. It's a bit far off from any town and approach road is also a tiny single lane road that winds through couple of villages. Baggage claim was amazing though. Since I took a dash 8, it meant lesser passenger and lesser baggage. But the whole experience was even better because the plane parks about 40 meters away from baggage claim and because this distance is so short, if you de-board in the end, your bags would already be waiting for you to be claimed. Also, there's no belt. They just keep the bags on floor and hence you don't have to keep looking at the belt. Just walk to claim area, look for your bag in the  swarm of other bags, pick it up, and you'll be good to go!"
IXA,80,5,83,86,62,82,46,54,49,50,63,2019-11-29 00:47:25,"Make sure you reach at the airport one for earlier. Flight from this airport to Kolkata is very busy and full. Doesn't really care. Airport is pretty small and less amenities are available."
AGA,67,10,73,69,64,66,58,55,55,63,70,2023-02-10 09:38:09,"Good airport but took a while in areas that it shouldnt. good facilities but dont arrive too early before your flight"
AZR,55,2,69,60,42,64,20,31,25,25,30,2022-09-10 07:17:11,"waiting for the bags for 50 min after arriving, this is the case for every flight.\r\nthere is only one bus transporting passengers from the terminal to the aircrafts or versversa."
AJY,,,,,""
AGR,59,,48,75,60,53,40,50,44,47,60,,""
GGB,,,,,""
AJI,60,1,100,73,73,73,73,73,73,100,73,2018-06-17 14:03:47,"May be the worst airport in turkey...you can wait an hour at least for your luggages. workers are too slow and everyone is behave stupidly..."
ADL,82,36,87,87,85,82,76,76,76,76,80,2023-06-20 10:04:37,"I was in ADL for a <2 hour layover from Brisbane to Perth, and primarily stayed down the Virgin Australia end of the terminal, though I walked through the retail area next to the international part of the terminal looking for lunch. I have to say the design of the terminal is annoying as you have to walk for a while between the Virgin Australia \/ REX gates to any facilities. Once you're there, you will find plenty of food and duty free shops to purchase from. Overall, a good airport once you're properly in the terminal."
AGX,,,80,70,80,80,70,80,,""
AIK,,,,,""
AGU,69,,78,84,80,70,69,61,87,80,91,,""
AGF,80,,84,100,100,80,50,45,55,100,,""
ADD,54,56,61,48,60,52,55,46,49,53,53,2023-06-07 13:03:28,"You have to wait at least an hour at the passport control. I had a priority tag on my luggage, they ripped it off not to send it via Priority belt. (everytime I fly to Addis their ground services does the same thing) So DONT WAIT FOR YOUR LUGGAGE ON THE PRIORITY BELT. Once you get your luggage, their is another xray scan before you leave the building, you have to wait at least half an hour on the queue. WORST ARRIVAL EXPERIENCE IN THE WORLD"
AKW,,,,,""
AFO,,,,,""
QXB,74,1,40,0,0,0,0,0,0,2013-08-16 09:57:23,"A private yet Familiar airport. The runway is in very good condition."
AHE,,,,,""
ROR,62,2,64,66,72,45,36,57,39,56,29,2022-08-04 07:23:29,"Extremely rough landing by the pilot,  it was a shame as the crew were good. \r\nSmall airport with no wifi,"
AIT,79,2,73,57,70,43,70,43,40,67,69,2019-11-16 08:46:08,"Well, it has a roof.  What more do you need?\r\n\r\nAn international mega-hub this is not; but relaxed island-time stop where the Air Raro staff will be there to look after you.\r\n\r\nLarger accommodation providers have offices right there."
AWZ,57,1,75,66,76,75,33,70,69,68,69,2015-10-12 08:14:16,"It's a small airport but international one with limited international flights. Most of the flights is transporting passengers to the Tehran and some other Iranian cities. Terminal facilities are poor and it doesn't have good Internet.you can get there just by taxi and your own car."
HAY,,,,,""
BQN,66,,47,36,40,41,37,40,57,57,40,,""
AMD,70,11,77,73,63,73,61,61,61,66,69,2023-05-23 13:11:24,"One of the best airports in Gujarat region. The size of it is also quite huge and impressive.\r\nThe staff is also polite and helpful. Access to the airport is good too."
PVK,70,4,73,70,73,59,50,48,62,66,45,2016-09-18 15:24:59,"Preveza Aktion AB airport is an airport which could be much better.... \r\ngetting to the airport is easy you have one road to follow which it bring you to the airport (you can go by car or take the bus from Preveza or Lefkada. About the check in the check for my flight had 3 check in desks open so it went quit quick but you have to bring your baggage to the X-Ray scanner at the behind the firs check in desk \r\nfood and retail drinks services : the airport hase on shop whit little snacks, coffee and drinks which it's ok . It has and one little sop with travel stuff and other things but this is all ! \r\nAbout the Lounge it has one only big lunge for all flights which is a little noisy .\r\nThe security check ... one only security desk and door so you have to wait a lot and the security check is no efficient as the others airport ! \r\nThis airport is a good solution for the area with low cost flight during summer periods."
LAK,,,,,""
CAK,73,,73,84,59,83,54,53,47,29,63,,""
AKU,,,,,""
AAN,81,,97,100,80,100,68,84,88,73,87,,""
AHU,,,50,40,60,60,100,60,20,80,80,,""
NJF,76,2,78,82,72,80,71,74,75,63,67,2014-11-09 20:03:39,"Najaf International Airport (IATA: NJF, ICAO: ORNI) is an international airport located east of the city of Najaf one of the most important cities of Iraq, established the airport on the former military air base, includes a passenger terminal at the airport gates for passengers to get passengers to the plane by bus, and in the July 20, 2008 was officially opening the airport to receive the next flight to the city of Najaf, a building housing the offices of passenger airline services, parking and control tower, and a freighter and VIP lounge, and manages the airport Onyx Holding Company for Aviation Services.\r\nAverage trips to and from Najaf, a day trip is currently 19. In times of visits, doubles, where up to 60 day trip airport receives many types of aircraft."
AJA,69,5,80,78,77,68,66,62,70,59,70,2019-06-23 20:56:08,"Very small airport but all the flights seem to leave at the same time (around noon) so there is a 1-hour wait for the security check! Also: chaos at the gates, difficult to know what queue to join for one's flight... \r\n\r\nOne positive note: arrival was good and quick."
AEY,82,4,80,88,93,60,57,50,43,37,73,2019-08-29 18:15:43,"A small airport terminal, but with a café (and decent car rentals). Good view of runway and stands. Icelandic aviation museum right next door."
AKX,64,1,68,77,73,58,44,60,52,62,54,2020-06-20 11:55:22,"Regional airport close to the city.\r\nTo reach the Airport you can use public transport: bus 48&8, then walk up to 30-50 minutes visible Airport building ;)"
AXT,77,1,66,74,73,64,63,59,71,47,70,2023-02-19 06:09:04,"There is exhibition of All Nippon Airways Lockheed TriStar L1011 cockpit. But access is not good and restaurant is very busy and it takes too much time.Wifi is good."
AKI,,,,,""
SCO,66,4,64,69,61,44,72,44,57,68,68,2023-07-03 14:27:02,"The main disadvantage of this airport are long distance to the city and absolutely absent of public transport. Getting to Aktau is possible only by taxi, price is about 8$. Wi-fi in airport is connected with only local SIM."
AKV,,,,,""
